Event	ID	Name			Wwise Object Path	Notes
	80079483	Play_MyCompany_Simple_Aircraft_fuel_pump			\AIRCRAFTS\AIRCRAFT_WWISEDATA\AIRCRAFT_PLAYER\MyCompany_Simple_Aircraft\miscalleneous\Play_MyCompany_Simple_Aircraft_fuel_pump	
	377233470	Play_MyCompany_Simple_Aircraft_eng1_combustion_start			\AIRCRAFTS\AIRCRAFT_WWISEDATA\AIRCRAFT_PLAYER\MyCompany_Simple_Aircraft\engine\Play_MyCompany_Simple_Aircraft_eng1_combustion_start	
	407983940	Play_MyCompany_Simple_Aircraft_exhaust_cooling			\AIRCRAFTS\AIRCRAFT_WWISEDATA\AIRCRAFT_PLAYER\MyCompany_Simple_Aircraft\miscalleneous\Play_MyCompany_Simple_Aircraft_exhaust_cooling	
	427733361	Play_MyCompany_Simple_Aircraft_flaps_right			\AIRCRAFTS\AIRCRAFT_WWISEDATA\AIRCRAFT_PLAYER\MyCompany_Simple_Aircraft\flight_control\Play_MyCompany_Simple_Aircraft_flaps_right	
	658084504	Play_MyCompany_Simple_Aircraft_wind_sound			\AIRCRAFTS\AIRCRAFT_WWISEDATA\AIRCRAFT_PLAYER\MyCompany_Simple_Aircraft\wind\Play_MyCompany_Simple_Aircraft_wind_sound	
	831044080	Play_MyCompany_Simple_Aircraft_rudder			\AIRCRAFTS\AIRCRAFT_WWISEDATA\AIRCRAFT_PLAYER\MyCompany_Simple_Aircraft\flight_control\Play_MyCompany_Simple_Aircraft_rudder	
	1132342488	Play_MyCompany_Simple_Aircraft_eng1_shutdown			\AIRCRAFTS\AIRCRAFT_WWISEDATA\AIRCRAFT_PLAYER\MyCompany_Simple_Aircraft\engine\Play_MyCompany_Simple_Aircraft_eng1_shutdown	
	1156739557	Play_MyCompany_Simple_Aircraft_left_touchdown			\AIRCRAFTS\AIRCRAFT_WWISEDATA\AIRCRAFT_PLAYER\MyCompany_Simple_Aircraft\ground\Play_MyCompany_Simple_Aircraft_left_touchdown	
	1298051185	Play_MyCompany_Simple_Aircraft_gear_movement			\AIRCRAFTS\AIRCRAFT_WWISEDATA\AIRCRAFT_PLAYER\MyCompany_Simple_Aircraft\flight_control\Play_MyCompany_Simple_Aircraft_gear_movement	
	1298852448	Play_MyCompany_Simple_Aircraft_right_touchdown			\AIRCRAFTS\AIRCRAFT_WWISEDATA\AIRCRAFT_PLAYER\MyCompany_Simple_Aircraft\ground\Play_MyCompany_Simple_Aircraft_right_touchdown	
	1486181057	Play_MyCompany_Simple_Aircraft_aileron_right			\AIRCRAFTS\AIRCRAFT_WWISEDATA\AIRCRAFT_PLAYER\MyCompany_Simple_Aircraft\flight_control\Play_MyCompany_Simple_Aircraft_aileron_right	
	1675141220	Play_MyCompany_Simple_Aircraft_eng1_shutdown_propeller			\AIRCRAFTS\AIRCRAFT_WWISEDATA\AIRCRAFT_PLAYER\MyCompany_Simple_Aircraft\engine\Play_MyCompany_Simple_Aircraft_eng1_shutdown_propeller	
	2547665866	Play_MyCompany_Simple_Aircraft_aileron_left			\AIRCRAFTS\AIRCRAFT_WWISEDATA\AIRCRAFT_PLAYER\MyCompany_Simple_Aircraft\flight_control\Play_MyCompany_Simple_Aircraft_aileron_left	
	2735235213	Play_MyCompany_Simple_Aircraft_center_touchdown			\AIRCRAFTS\AIRCRAFT_WWISEDATA\AIRCRAFT_PLAYER\MyCompany_Simple_Aircraft\ground\Play_MyCompany_Simple_Aircraft_center_touchdown	
